run,p_3,r_3,v_3,p_15,r_15,v_15
ALL,2.8073067354312595e-32,0.27363412689819633,0.597156343411559,3.9704912300071705e-73,0.40793419529954617,1.1354173939045873
ALB,4.0096384784775695e-54,0.3535107376941482,0.37754778306304554,1.3938834680349997e-73,0.4091182084553273,0.9865424748048867
TI,0.00016836303326209914,-0.08856530490510131,0.08775960666531588,0.8753960627036423,0.0036985597717267907,0.0330100937673705
DUST,0.7425416859731482,-0.007747834484327965,0.43353561733599877,0.468881318715664,0.017082545691522094,0.291302355216285
