run,p_3,r_3,v_3,p_15,r_15,v_15
ALL,1.1474240972341247e-51,0.8616928560102137,1.403545561630869,1.9143729120403293e-67,0.921106028534348,0.6689469300114098
ALB,0.4786196255474167,-0.05454191641874191,0.06504143214412243,0.10140097486570711,0.12916172683253602,0.09360558164352605
TI,0.71078882818156,-0.028559232259967905,0.08905668764478712,0.541643609640389,-0.0482980112636416,0.021566500106546784
DUST,2.6272720693596175e-49,0.8517339727240512,1.3916433113136415,3.571752853854593e-65,0.9155387579724614,0.7207321117207706
